"promptId","imageId","title","original","thumb400","thumb800"
"pr_22","pr_22","Romantic Couple Night Portrait","https://notesapp-ed63a.web.app/prompts/original/pr_22.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_22.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_22.webp"
"pr_23","pr_23","Pixar 3D Cinematic Poster","https://notesapp-ed63a.web.app/prompts/original/pr_23.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_23.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_23.webp"
"pr_24","pr_24","Makoto Shinkai Style Anime Artwork","https://notesapp-ed63a.web.app/prompts/original/pr_24.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_24.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_24.webp"
"pr_25","pr_25","Aesthetic Rainy Season College Portrait","https://notesapp-ed63a.web.app/prompts/original/pr_25.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_25.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_25.webp"
"pr_26","pr_26","Playful Double Bun Friendship Portrait","https://notesapp-ed63a.web.app/prompts/original/pr_26.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_26.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_26.webp"
"pr_27","pr_27","Traditional Orange & Gold Lehenga Portrait","https://notesapp-ed63a.web.app/prompts/original/pr_27.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_27.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_27.webp"
"pr_28","pr_28","Cinematic Women Portrait #14","https://notesapp-ed63a.web.app/prompts/original/pr_28.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_28.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_28.webp"
"pr_29","pr_29","Fashion Collage Layout","https://notesapp-ed63a.web.app/prompts/original/pr_29.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_29.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_29.webp"
"pr_30","pr_30","South Indian Vintage Bicycle Portrait","https://notesapp-ed63a.web.app/prompts/original/pr_30.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_30.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_30.webp"
"pr_31","pr_31","Cinematic Face-Swap Scene","https://notesapp-ed63a.web.app/prompts/original/pr_31.webp","https://notesapp-ed63a.web.app/prompts/thumbnails/pr_31.webp","https://notesapp-ed63a.web.app/prompts/thumbnails@2x/pr_31.webp"
